episode title	link
15c-la-reine-fiere.jpg	http://static.skynetblogs.be/media/105479/dyn007_original_600_745_pjpeg_2675725_f9a96eeed546ff82a081ad01f9065ef9.jpg
15d-dame-hermeline.jpg	http://mesphotos00.free.fr/CrocExpos/expo_Poggi/images/regard_renarde.jpg
15e-renart-dans-l-arbre.jpg	http://th00.deviantart.net/fs70/PRE/i/2011/065/1/3/gray_fox_in_tree_by_silvercrossfox-d3b2bob.jpg
16a-la-cuve-du-teinturier.jpg	http://www.culture.gouv.fr/culture/inventai/itiinv/elbeuf/elements-htm/01764071NUC_P.JPG
16b-renart-teint-en-jaune.jpg	http://fc09.deviantart.net/fs70/f/2012/168/f/6/yellow_fox_by_phantomfox777-d53t0d8.jpg
17a-renart-et-ysengrin.jpg	http://gal.ulyn.net/286225_1.gif
17b-ysengrin-triste.jpg	http://th06.deviantart.net/fs38/PRE/i/2008/321/8/9/Lonely_Wolf_by_TheKarelia.jpg
17c-ysengrin-en-colere.jpg	http://fr.academic.ru/pictures/frwiki/80/Parc_zoologique_de_Vincennes_20060816_29.jpg
17d-le-chagrin-d-hersent.jpg	http://fc07.deviantart.net/fs38/i/2008/339/4/e/sad_wolf_by_anneke696.jpg
17e-poncet-le-pretendant.jpg	http://i.ebayimg.com/17/!BwQN8RQCWk~$(KGrHqEOKjMEwPKP8FdfBMIHWpK6(g~~_35.JPG
17f-poncet-marie-hermeline.jpg	http://s3.static69.com/m/image-offre/e/d/4/4/ed444b7983a42466b8dcd999a31bf9ed-300x300.gif
17g-poncet-le-blaireau.jpg	http://www.littleisobel.com/home/wp-content/uploads/2011/07/badger.jpg
17h-hermeline-chassee.jpg	http://a.imdoc.fr/1/arts-et-creations/dessins/photo/2507117250/156968286c4/dessins-renard-img.png
18a-hermeline-et-hersent-se-disputent.jpg	http://www.culture.gouv.fr/Wave/image/joconde/0009/m504101_95cn5864_p.jpg
18b-combat-d-hersent-et-hermeline.jpg	http://fc00.deviantart.net/fs71/f/2011/217/9/8/the_fox_vs_the_wolf__round_3_by_rko509-d45icep.jpg
19a-renart-a-faim.jpg	http://environnement.ecole.free.fr/images3/le%20renard%20et%20les%20raisins.jpg
19b-chantecler-chante.jpg	http://expositions.bnf.fr/bestiaire/grand/07_03_bnf.htm
19c-renart-dans-les-filets.jpg	http://2.bp.blogspot.com/_f98opUNuVXc/S9B2GmThw9I/AAAAAAAAO80/z7QdvJvqfp4/s400/Fox+cub.jpg
19d-paysan-evanoui.jpg	http://www.mskgent.be/library/Permeke_liggende-boer-9DHB.jpg
19e-renart-libere.jpg	http://www.drawingunlimited.com/images/Fox001.jpg
19f-noiret-le-coq-s-echappe.jpg	http://www.meublepeint.be/ComodeFable13.jpg
19g-deception-de-renart.jpg	http://www.ebooksgratuits.com/html/esope_fables_1/image019.jpg
20a-ysengrin-pardonne-renart.jpg	http://4.bp.blogspot.com/_SC4qBxZtAvs/SsWuKrB-4uI/AAAAAAAADuw/sei2SaZBc4k/s1600-h/le+lion+le+loup+et+le+renard.jpg
